ID da Fatura,Filial,Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Data,Hora,Pagamento,COGS,Margem Bruta %,Renda Bruta,Avaliação
461145183,B,Moreira dos Dourados,Membro,Feminino,Alimentos e bebidas,82.07,4,16.414,344.694,2024-01-08,20:25,Cartão de crédito,275.76,5.933144,20.4512,6.4
413738641,C,Ramos,Normal,Masculino,Eletrônicos,90.24,4,18.048,379.008,2024-01-16,22:37,Ewallet,303.21,4.447541,16.8565,7.5
679545707,A,Cunha,Normal,Masculino,Esportes e viagens,26.38,6,7.914,166.194,2024-01-18,05:57,Ewallet,132.96,3.145817,5.2282,7.8
104762123,C,da Paz,Membro,Masculino,Casa e estilo de vida,11.86,3,1.779,37.359,2024-01-21,05:33,Cartão de crédito,29.89,6.01398,2.2468,5.5
803804735,B,Dias de Santos,Membro,Feminino,Eletrônicos,31.27,5,7.8175,164.1675,2024-01-24,05:02,Dinheiro,131.33,4.083387,6.7036,8.9
669095678,A,Costela do Norte,Membro,Feminino,Saúde e beleza,41.18,1,2.059,43.239,2024-02-10,23:37,Ewallet,34.59,4.001541,1.7302,6.0
362340912,C,das Neves de Cavalcanti,Membro,Feminino,Saúde e beleza,61.87,9,27.8415,584.6715,2024-01-13,19:01,Dinheiro,467.74,5.721627,33.4527,5.6
54740541,B,Costa dos Dourados,Membro,Feminino,Saúde e beleza,94.65,2,9.465,198.765,2024-02-06,06:27,Dinheiro,159.01,7.052582,14.0181,5.8
223860851,B,Araújo do Sul,Membro,Feminino,Saúde e beleza,19.67,5,4.9175,103.2675,2024-01-08,11:31,Dinheiro,82.61,5.365744,5.5411,6.3
604755558,B,da Paz das Flores,Membro,Masculino,Saúde e beleza,63.69,3,9.5535,200.6235,2024-01-19,18:01,Cartão de crédito,160.5,5.970975,11.9792,7.2
628432196,B,Souza da Prata,Membro,Feminino,Casa e estilo de vida,52.59,8,21.036,441.756,2024-01-15,23:22,Cartão de crédito,353.4,3.597159,15.8907,7.3
860366448,A,Barros das Pedras,Normal,Feminino,Esportes e viagens,70.08,6,21.024,441.504,2024-01-02,07:07,Ewallet,353.2,4.510539,19.9142,8.9
535695032,B,Nogueira de Rocha,Normal,Feminino,Eletrônicos,76.58,4,15.316,321.636,2024-01-11,11:18,Cartão de crédito,257.31,3.25461,10.468,4.1
3129699,A,Moura do Campo,Normal,Masculino,Eletrônicos,73.39,4,14.678,308.238,2024-02-03,19:40,Cartão de crédito,246.59,3.497852,10.7817,4.8
540935096,A,Fogaça,Normal,Feminino,Eletrônicos,90.42,8,36.168,759.528,2024-01-19,14:11,Dinheiro,607.62,3.371826,25.61,7.9
785673758,C,da Mota Grande,Membro,Feminino,Casa e estilo de vida,59.16,3,8.874,186.354,2024-01-29,11:16,Cartão de crédito,149.08,4.449589,8.292,6.9
77036447,C,Ferreira,Membro,Masculino,Casa e estilo de vida,20.07,9,9.0315,189.6615,2024-02-04,19:10,Cartão de crédito,151.73,3.571042,6.7729,5.5
840462131,B,Caldeira Paulista,Normal,Feminino,Saúde e beleza,52.97,3,7.9455,166.8555,2024-01-31,20:46,Dinheiro,133.48,6.922156,11.55,7.5
997094585,A,da Mota do Campo,Normal,Feminino,Alimentos e bebidas,43.17,4,8.634,181.314,2024-01-11,07:27,Cartão de crédito,145.05,4.383798,7.9484,4.4
741961948,C,da Mota,Membro,Feminino,Alimentos e bebidas,47.34,10,23.67,497.07,2024-02-01,03:48,Cartão de crédito,397.66,3.143925,15.6275,7.3
540213422,A,Nunes,Membro,Feminino,Alimentos e bebidas,21.35,2,2.135,44.835,2024-01-13,07:30,Cartão de crédito,35.87,6.431566,2.8836,4.2
662415985,C,Rezende,Membro,Masculino,Alimentos e bebidas,86.95,8,34.78,730.38,2024-01-22,18:38,Dinheiro,584.3,7.307262,53.3708,8.6
364963955,B,Rocha,Normal,Feminino,Esportes e viagens,17.13,5,4.2825,89.9325,2024-02-03,19:54,Cartão de crédito,71.95,4.443615,3.9963,6.0
250029727,A,Fogaça,Membro,Feminino,Esportes e viagens,71.87,4,14.374,301.854,2024-01-23,22:30,Ewallet,241.48,6.03042,18.2031,8.0
901033746,B,Nunes Paulista,Membro,Feminino,Alimentos e bebidas,41.38,9,18.621,391.041,2024-01-13,02:39,Dinheiro,312.83,4.211958,16.4705,8.3
